,timestamp,side,outcome,price,size
103,2026-01-19 23:45:34,BUY,Up,0.57,19.6997
106,2026-01-19 23:45:34,BUY,Up,0.57,19.6997
105,2026-01-19 23:45:34,BUY,Up,0.57,13.9572
104,2026-01-19 23:45:34,BUY,Up,0.57,14.17
102,2026-01-19 23:45:46,BUY,Down,0.4,19.712
99,2026-01-19 23:45:46,BUY,Down,0.4,19.712
100,2026-01-19 23:45:46,BUY,Down,0.4,19.712
101,2026-01-19 23:45:46,BUY,Down,0.4,19.712
98,2026-01-19 23:45:52,BUY,Down,0.4,19.712
95,2026-01-19 23:46:00,BUY,Up,0.62,19.7225
94,2026-01-19 23:46:00,BUY,Up,0.61325,19.7188
96,2026-01-19 23:46:00,BUY,Up,0.61,19.7171
97,2026-01-19 23:46:00,BUY,Up,0.62,19.7225
93,2026-01-19 23:46:04,BUY,Down,0.37,19.7284
92,2026-01-19 23:46:04,BUY,Down,0.37,19.7284
91,2026-01-19 23:46:04,BUY,Down,0.37,19.7284
90,2026-01-19 23:46:06,BUY,Down,0.38,19.7225
88,2026-01-19 23:46:22,BUY,Up,0.61,19.7171
89,2026-01-19 23:46:22,BUY,Up,0.61,19.7171
86,2026-01-19 23:46:24,BUY,Up,0.61,19.7171
87,2026-01-19 23:46:24,BUY,Up,0.61,12.3232
85,2026-01-19 23:46:26,BUY,Down,0.39,19.7171
84,2026-01-19 23:46:26,BUY,Down,0.39,19.7171
83,2026-01-19 23:46:26,BUY,Down,0.39,19.7171
82,2026-01-19 23:46:28,BUY,Down,0.39,19.7171
81,2026-01-19 23:46:46,BUY,Up,0.59,19.7075
80,2026-01-19 23:46:46,BUY,Up,0.59,19.7075
79,2026-01-19 23:46:46,BUY,Up,0.59,19.7075
75,2026-01-19 23:46:58,BUY,Down,0.39,19.7171
77,2026-01-19 23:46:58,BUY,Down,0.39,19.7171
76,2026-01-19 23:46:58,BUY,Down,0.39,19.7171
78,2026-01-19 23:46:58,BUY,Down,0.39,19.7171
74,2026-01-19 23:47:42,BUY,Up,0.6,19.712
73,2026-01-19 23:47:42,BUY,Up,0.6,19.712
69,2026-01-19 23:48:10,BUY,Up,0.69,0.7612
70,2026-01-19 23:48:10,BUY,Up,0.69,0.77
71,2026-01-19 23:48:10,BUY,Up,0.69,0.77
72,2026-01-19 23:48:10,BUY,Up,0.69,0.77
68,2026-01-19 23:48:22,BUY,Down,0.34,19.7483
65,2026-01-19 23:48:28,BUY,Up,0.67,12.772
67,2026-01-19 23:48:28,BUY,Up,0.67,19.7556
66,2026-01-19 23:48:28,BUY,Up,0.67,19.7556
63,2026-01-19 23:48:38,BUY,Down,0.3,19.7795
64,2026-01-19 23:48:38,BUY,Down,0.3,19.7795
62,2026-01-19 23:48:56,BUY,Down,0.44,19.6965
61,2026-01-19 23:48:56,BUY,Down,0.44,19.6965
58,2026-01-19 23:49:04,BUY,Up,0.58,19.7033
57,2026-01-19 23:49:04,BUY,Up,0.58,19.7033
60,2026-01-19 23:49:04,BUY,Up,0.58,19.7033
59,2026-01-19 23:49:04,BUY,Up,0.58,19.7033
56,2026-01-19 23:49:14,BUY,Up,0.6,19.712
55,2026-01-19 23:49:28,BUY,Down,0.37,19.7284
54,2026-01-19 23:49:30,BUY,Down,0.37,4.9321
53,2026-01-19 23:50:44,BUY,Up,0.67,19.7556
52,2026-01-19 23:50:46,BUY,Up,0.67,19.7556
51,2026-01-19 23:50:46,BUY,Up,0.67,19.7556
50,2026-01-19 23:50:46,BUY,Up,0.67,19.7556
49,2026-01-19 23:50:48,BUY,Down,0.33,19.7556
46,2026-01-19 23:51:06,BUY,Down,0.4,19.712
47,2026-01-19 23:51:06,BUY,Down,0.4,19.712
45,2026-01-19 23:51:06,BUY,Down,0.4,19.712
48,2026-01-19 23:51:06,BUY,Down,0.4,19.712
42,2026-01-19 23:51:54,BUY,Down,0.46,19.6915
41,2026-01-19 23:51:54,BUY,Down,0.46,19.6915
43,2026-01-19 23:51:54,BUY,Down,0.46,19.6915
44,2026-01-19 23:51:54,BUY,Down,0.46,19.6915
38,2026-01-19 23:52:06,BUY,Down,0.47,19.6898
40,2026-01-19 23:52:06,BUY,Down,0.47,19.6898
39,2026-01-19 23:52:06,BUY,Down,0.49,19.6878
37,2026-01-19 23:52:06,BUY,Down,0.49,19.6878
35,2026-01-19 23:52:08,BUY,Down,0.49,19.6878
36,2026-01-19 23:52:08,BUY,Down,0.49,19.6878
33,2026-01-19 23:52:12,BUY,Up,0.52,19.6885
34,2026-01-19 23:52:12,BUY,Up,0.52,19.6885
31,2026-01-19 23:52:14,BUY,Up,0.52,19.6885
32,2026-01-19 23:52:14,BUY,Up,0.52,19.6885
30,2026-01-19 23:52:18,BUY,Up,0.53,19.6898
29,2026-01-19 23:52:20,BUY,Up,0.52,18.7041
28,2026-01-19 23:52:24,BUY,Up,0.56,18.7117
26,2026-01-19 23:52:26,BUY,Up,0.56,18.7117
27,2026-01-19 23:52:26,BUY,Up,0.56,18.7117
25,2026-01-19 23:52:26,BUY,Up,0.56,18.7117
24,2026-01-19 23:52:36,BUY,Down,0.46,18.707
23,2026-01-19 23:52:44,BUY,Down,0.47,18.7053
22,2026-01-19 23:52:44,BUY,Down,0.47,3.4359
21,2026-01-19 23:52:46,BUY,Down,0.47,18.7053
20,2026-01-19 23:52:48,BUY,Down,0.5951631578947368,18.7243
19,2026-01-19 23:52:50,BUY,Down,0.66,18.7609
18,2026-01-19 23:52:54,BUY,Down,0.68,3.0139
17,2026-01-19 23:53:12,BUY,Down,0.65,18.7542
15,2026-01-19 23:53:12,BUY,Down,0.65,18.7542
16,2026-01-19 23:53:12,BUY,Down,0.65,18.7542
14,2026-01-19 23:53:16,BUY,Down,0.64,18.7479
10,2026-01-19 23:53:20,BUY,Up,0.28,18.807
11,2026-01-19 23:53:20,BUY,Up,0.28,18.807
12,2026-01-19 23:53:20,BUY,Up,0.28,18.807
13,2026-01-19 23:53:20,BUY,Up,0.28,18.807
9,2026-01-19 23:53:22,BUY,Up,0.28,18.807
8,2026-01-19 23:53:38,BUY,Up,0.21,18.8693
7,2026-01-19 23:53:40,BUY,Up,0.21,18.8693
6,2026-01-19 23:53:40,BUY,Up,0.21,18.8693
5,2026-01-19 23:54:02,BUY,Up,0.32,18.7751
3,2026-01-19 23:54:54,BUY,Up,0.16,17.9188
4,2026-01-19 23:54:54,BUY,Up,0.16,15.4599
2,2026-01-19 23:55:12,BUY,Up,0.18,17.902
1,2026-01-19 23:55:54,BUY,Up,0.11,16.9593
0,2026-01-19 23:55:56,BUY,Up,0.11,16.9593
