,imbalance,relative_imbalance,position_imbalance,trade_size,imbalance_persistence,time_remaining,pnl,roi,pair_cost,matched_pairs,total_trades,final_position_imbalance,marginal_cost_improvement
0,-0.8,0.2,0.1,25,2,30,-19.85230974595272,-1.9852309745952723,1.0177807602850701,888.7717569767813,147.9,0.09900576976126221,0.001
1,-0.8,0.2,0.1,25,2,60,-19.85230974595272,-1.9852309745952723,1.0177807602850701,888.7717569767813,146.8,0.09900576976126221,0.002
2,-0.8,0.2,0.1,50,2,60,-19.831850433062517,-1.9831850433062517,1.017975772845338,876.4990127108055,132.1,0.10658137389246443,0.002
3,-0.8,0.2,0.2,50,6,60,-11.954023685410869,-1.1954023685410866,1.007239356288562,609.9883600847799,52.4,0.28396021518747827,0.002
6,-0.8,0.2,0.30000000000000004,25,6,60,-13.213096855048217,-1.3213096855048216,1.0168891937312845,560.7628641164999,60.4,0.30971633448364205,0.001
7,-0.8,0.2,0.30000000000000004,50,6,30,-3.7542444131927595,-0.375424441319276,1.002805701164823,615.099875603469,56.5,0.3316096086478145,0.001
10,-0.8,0.2,0.4,25,6,60,-4.646789161212519,-0.46467891612125173,1.0137610712540808,557.159352989686,65.1,0.3501453981180166,0.002
14,-0.8,0.4,0.1,25,2,30,-29.995744044857485,-2.9995744044857484,1.0290933323891553,883.6788602258457,135.5,0.0900312084924864,0.0015
15,-0.8,0.4,0.1,25,6,60,-21.408427480070635,-2.1408427480070635,1.0400762627227063,460.4317457046988,46.2,0.17671550566294741,0.001
16,-0.8,0.4,0.1,50,2,30,-23.306500120979628,-2.330650012097963,1.0215996761305133,885.7226770962985,126.3,0.0912715887888518,0.001
17,-0.8,0.4,0.1,50,2,60,-23.306500120979628,-2.330650012097963,1.0215996761305133,885.7226770962985,125.3,0.0912715887888518,0.001
18,-0.8,0.4,0.1,50,6,30,-28.756632636205133,-2.875663263620513,1.041666554005048,514.995286203712,43.5,0.24111184317308298,0.002
19,-0.8,0.4,0.1,50,6,60,-24.92544304041686,-2.4925443040416857,1.0315279759448297,508.31878620371197,43.1,0.25022969871995465,0.002
20,-0.8,0.4,0.1,75,6,60,-24.514445304262996,-2.4514445304262997,1.0306281744700052,554.4362485307865,44.7,0.24793035881674755,0.002
22,-0.8,0.4,0.2,25,6,30,-9.81854666285717,-0.9818546662857172,1.0134424806252051,499.84764970624184,52.9,0.3098241365847938,0.001
23,-0.8,0.4,0.2,50,2,60,-13.834944731428584,-1.3834944731428584,1.0117211398075572,836.0662882952718,135.2,0.14999373193451612,0.001
24,-0.8,0.4,0.2,75,2,30,-8.972404366875617,-0.8972404366875615,1.0068719928298422,803.0795875467703,128.9,0.18648503164718597,0.001
25,-0.8,0.4,0.2,75,2,60,-8.972404366875617,-0.8972404366875615,1.0068719928298422,803.0795875467703,127.6,0.18648503164718597,0.002
26,-0.8,0.4,0.2,75,6,30,-6.130811706139343,-0.6130811706139345,1.008713062877233,568.155919779837,48.9,0.3003047218053756,0.002
28,-0.8,0.4,0.30000000000000004,50,2,30,-6.467950615311338,-0.6467950615311338,1.0036743757355482,818.4102803772964,145.6,0.17912649630050229,0.002
29,-0.8,0.4,0.30000000000000004,50,6,30,1.3750958690956168,0.13750958690956178,1.0021348743032104,575.4513561000537,52.7,0.3047352484118353,0.002
31,-0.8,0.4,0.30000000000000004,75,2,30,-3.8976904095358806,-0.38976904095358805,1.0010180345699757,795.4719034977087,141.0,0.20258228928229868,0.002
32,-0.8,0.4,0.4,25,6,30,-1.6629720558229906,-0.16629720558229932,1.0120748593422357,507.38038324266654,59.4,0.36577424609851206,0.002
33,-0.8,0.4,0.4,25,6,60,0.2816591508568195,0.028165915085681715,1.005079490132551,503.6997165759998,59.1,0.3740786194058932,0.002
37,-0.8,0.6000000000000001,0.1,25,2,30,-22.18536366727717,-2.218536366727717,1.0209090194023804,875.7191855853922,122.9,0.12697407995864973,0.002
38,-0.8,0.6000000000000001,0.1,25,2,60,-22.18536366727717,-2.218536366727717,1.0209090194023804,875.7191855853922,122.3,0.12697407995864973,0.002
39,-0.8,0.6000000000000001,0.1,50,2,30,-25.646007188884404,-2.5646007188884403,1.024203621224475,878.5948822394384,116.8,0.09344911006112375,0.002
43,-0.8,0.6000000000000001,0.30000000000000004,50,2,30,-11.06942115799285,-1.1069421157992851,1.0074050500069487,878.2454528420743,143.2,0.10988227225768446,0.002
46,-0.8,0.6000000000000001,0.30000000000000004,75,2,60,-7.95259474707841,-0.795259474707841,1.005001661408429,827.4858470963736,135.6,0.1643186791582198,0.001
47,-0.8,0.6000000000000001,0.30000000000000004,75,6,30,-1.6768566647472767,-0.16768566647472766,1.0034326236401827,530.3257277483536,48.1,0.3089270895388787,0.001
48,-0.8,0.6000000000000001,0.30000000000000004,75,6,60,-1.6732277763454362,-0.16732277763454356,1.0034292095996569,530.3257277483536,48.0,0.30892021985786466,0.001
49,-0.8,0.6000000000000001,0.4,50,2,60,-4.881192284435519,-0.4881192284435521,1.0019005723586205,888.7458953570509,143.6,0.11263212203368597,0.002
55,-0.8,0.8,0.1,75,6,30,1.1096675339039053,0.11096675339039057,1.0241519466707296,365.1599047549561,33.7,0.27554832459182305,0.002
56,-0.8,0.8,0.2,25,2,30,-8.968499365670448,-0.896849936567045,1.0050632812914118,863.2408972615092,127.8,0.15536001686630277,0.001
57,-0.8,0.8,0.2,25,2,60,-8.968499365670448,-0.896849936567045,1.0050632812914118,863.2408972615092,126.8,0.15536001686630277,0.001
59,-0.8,0.8,0.2,50,2,30,-10.721241246643638,-1.0721241246643638,1.0108320625400782,851.2624576176844,123.6,0.13847298215933884,0.002
61,-0.8,0.8,0.30000000000000004,75,2,60,-15.974608918141508,-1.5974608918141506,1.016223470880775,844.6774842838411,129.8,0.14351525724538194,0.001
63,-0.6000000000000001,0.2,0.1,25,2,30,-19.85230974595272,-1.9852309745952723,1.0177807602850701,888.7717569767813,147.9,0.09900576976126221,0.002
64,-0.6000000000000001,0.2,0.1,25,6,30,-25.126263093800368,-2.512626309380037,1.0349230236718394,521.698782315448,52.1,0.25456354994488867,0.001
65,-0.6000000000000001,0.2,0.1,25,6,60,-23.279763065440704,-2.3279763065440706,1.0280549054547667,517.2681156487814,51.9,0.26327358686402513,0.0015
66,-0.6000000000000001,0.2,0.1,75,6,60,-21.04814610835813,-2.1048146108358132,1.028525614356757,572.3367491975374,47.5,0.2756835950834846,0.002
67,-0.6000000000000001,0.2,0.2,25,2,30,-11.510329818364402,-1.1510329818364404,1.0075442126424388,859.4413856333915,150.7,0.13178934775760753,0.0015
68,-0.6000000000000001,0.2,0.2,50,2,30,-5.752697109681151,-0.5752697109681151,1.0015047579108196,820.120917260623,143.2,0.18047985897626093,0.0015
72,-0.6000000000000001,0.2,0.4,25,6,30,-6.579137062939537,-0.6579137062939537,1.020754098897515,560.8006974782395,65.6,0.34189932862727196,0.002
73,-0.6000000000000001,0.2,0.4,25,6,60,-4.6344924664451925,-0.46344924664451914,1.0137587171908078,557.1200308115729,65.3,0.35020374034891044,0.001
78,-0.6000000000000001,0.4,0.1,25,6,30,-23.985139978005122,-2.3985139978005123,1.047800477851025,464.86241237136545,47.4,0.17007926503344833,0.002
79,-0.6000000000000001,0.4,0.1,25,6,60,-21.41353170323389,-2.141353170323389,1.0400841191703287,460.4317457046988,46.3,0.1769030125961274,0.002
80,-0.6000000000000001,0.4,0.1,50,6,60,-24.923538163044192,-2.492353816304419,1.0315235414232977,508.31878620371197,43.2,0.2503846199124222,0.001
81,-0.6000000000000001,0.4,0.1,75,6,30,-27.65453432535586,-2.765453432535586,1.0397930170639085,560.3627485307866,45.1,0.23673098704001036,0.002
83,-0.6000000000000001,0.4,0.2,25,6,30,-8.046340159343492,-0.8046340159343492,1.0102366089178207,499.84764970624184,52.5,0.30119716672102204,0.002
84,-0.6000000000000001,0.4,0.2,50,2,30,-13.834944731428584,-1.3834944731428584,1.0117211398075572,836.0662882952718,136.8,0.14999373193451612,0.002
85,-0.6000000000000001,0.4,0.30000000000000004,25,6,60,-4.755253075035216,-0.4755253075035216,1.0050632287648398,504.63558148323654,54.7,0.2925226840724674,0.002
86,-0.6000000000000001,0.4,0.30000000000000004,50,2,30,-6.467950615311338,-0.6467950615311338,1.0036743757355482,818.4102803772964,145.6,0.17912649630050229,0.001
88,-0.6000000000000001,0.4,0.30000000000000004,75,2,60,-3.8976904095358806,-0.38976904095358805,1.0010180345699757,795.4719034977087,139.7,0.20258228928229868,0.001
90,-0.6000000000000001,0.4,0.4,25,6,30,-1.664392815391102,-0.16643928153911025,1.012075996564992,507.38038324266654,59.5,0.36587670377476755,0.002
91,-0.6000000000000001,0.4,0.4,25,6,60,0.28023839128870803,0.028023839128870787,1.0050806273553072,503.6997165759998,59.2,0.3741810770821487,0.001
96,-0.6000000000000001,0.6000000000000001,0.1,25,2,60,-22.24962385802029,-2.224962385802029,1.0209778724066911,875.7243326433643,122.6,0.12692323906522132,0.0015
97,-0.6000000000000001,0.6000000000000001,0.1,25,6,30,6.67320866966669,0.667320866966669,1.0004801954619453,422.64243972463464,42.9,0.17369331911744695,0.002
98,-0.6000000000000001,0.6000000000000001,0.1,50,2,30,-25.763641703627673,-2.5763641703627673,1.0243423853556701,879.0021549637291,119.3,0.09304508769992079,0.001
99,-0.6000000000000001,0.6000000000000001,0.1,75,2,60,-18.26027388734467,-1.8260273887344667,1.015345764750255,876.0744080350705,121.0,0.10950502778817335,0.001
100,-0.6000000000000001,0.6000000000000001,0.2,25,2,60,-15.485212722391235,-1.5485212722391235,1.014103014984409,845.970334649142,139.6,0.14547420631698185,0.001
101,-0.6000000000000001,0.6000000000000001,0.2,50,2,60,-10.564828519590662,-1.0564828519590663,1.0072113322279324,859.5183637941388,133.7,0.1317176320706849,0.001
105,-0.6000000000000001,0.6000000000000001,0.30000000000000004,25,2,60,-5.27442710993048,-0.527442710993048,1.0011801904542508,848.7163595815713,144.4,0.16225031575526544,0.001
107,-0.6000000000000001,0.6000000000000001,0.30000000000000004,75,6,30,-1.64937083241731,-0.16493708324173095,1.0033815262836703,530.3257277483536,48.1,0.3089156570337942,0.002
111,-0.6000000000000001,0.6000000000000001,0.4,50,2,60,-4.881192284435519,-0.4881192284435521,1.0019005723586205,888.7458953570509,143.6,0.11263212203368597,0.0015
113,-0.6000000000000001,0.8,0.1,25,2,30,-12.601563066890321,-1.2601563066890322,1.0103312856035276,887.5260711653793,126.2,0.13114541813500585,0.002
114,-0.6000000000000001,0.8,0.1,50,2,30,-26.861125400520393,-2.686112540052039,1.0287624021685329,882.0903851973368,109.5,0.08573799816594327,0.002
115,-0.6000000000000001,0.8,0.1,50,6,30,3.6378868509442897,0.3637886850944289,1.01773895905445,344.7896740511968,33.7,0.27854701523724146,0.002
116,-0.6000000000000001,0.8,0.1,75,2,30,-13.981908990389025,-1.3981908990389023,1.0135108259073162,869.7372771249429,108.5,0.11648135169182217,0.001
117,-0.6000000000000001,0.8,0.1,75,2,60,-13.981908990389025,-1.3981908990389023,1.0135108259073162,869.7372771249429,107.5,0.11648135169182217,0.001
118,-0.6000000000000001,0.8,0.1,75,6,30,1.1096675339039053,0.11096675339039057,1.0241519466707296,365.1599047549561,33.7,0.27554832459182305,0.002
119,-0.6000000000000001,0.8,0.1,75,6,60,2.5790920106715474,0.2579092010671548,1.0224074169839708,364.4099047549561,32.0,0.27188902352413924,0.001
122,-0.6000000000000001,0.8,0.2,75,2,30,-21.38322290761612,-2.1383222907616117,1.022499424453048,850.2822117319301,122.1,0.1276741103978355,0.001
123,-0.6000000000000001,0.8,0.2,75,2,60,-21.38322290761612,-2.1383222907616117,1.022499424453048,850.2822117319301,120.8,0.1276741103978355,0.0015
125,-0.6000000000000001,0.8,0.30000000000000004,25,2,60,-8.484814140066726,-0.8484814140066727,1.0058850058958018,833.5832596702661,136.6,0.17492130757197552,0.001
126,-0.6000000000000001,0.8,0.30000000000000004,50,2,60,-5.1822272240628875,-0.5182227224062889,1.0024946970585895,880.9110800953929,133.5,0.12047509073295515,0.001
128,-0.6000000000000001,0.8,0.30000000000000004,75,2,60,-16.11523144445772,-1.611523144445772,1.0164171856756117,845.5297759196377,130.2,0.14273164350934464,0.002
131,-0.6000000000000001,0.8,0.4,25,2,30,-6.332042326005308,-0.6332042326005309,1.0042377274575807,873.8757031558085,145.8,0.1359765761528958,0.002
135,-0.40000000000000013,0.2,0.1,25,2,30,-19.852309755875694,-1.9852309755875694,1.0177807602985454,888.7717569579767,147.6,0.09900576977269082,0.001
136,-0.40000000000000013,0.2,0.1,25,6,30,-25.168968293451815,-2.516896829345182,1.035004333338199,521.698782315448,52.2,0.254721872504193,0.0015
137,-0.40000000000000013,0.2,0.1,50,2,60,-19.816481393203492,-1.9816481393203493,1.0180542646501243,874.8444609346885,131.9,0.10803253683931931,0.0015
138,-0.40000000000000013,0.2,0.1,75,2,30,-14.571234004734674,-1.4571234004734674,1.013930505847522,859.8662249694329,126.2,0.1300347354188382,0.001
139,-0.40000000000000013,0.2,0.1,75,6,60,-21.136107029526727,-2.1136107029526725,1.0286060550002063,572.5192491975374,47.6,0.27554699764913254,0.001
140,-0.40000000000000013,0.2,0.2,25,6,30,-27.466764736945606,-2.746676473694561,1.0346701136678265,547.4483026580783,56.7,0.2888619355892963,0.001
141,-0.40000000000000013,0.2,0.2,25,6,60,-25.63800702705371,-2.563800702705371,1.0278195308926736,543.0176359914116,56.5,0.2976225358604391,0.002
142,-0.40000000000000013,0.2,0.2,50,2,60,-5.752697109681151,-0.5752697109681151,1.0015047579108196,820.120917260623,141.6,0.18047985897626093,0.002
143,-0.40000000000000013,0.2,0.2,50,6,60,-12.300914117103764,-1.2300914117103763,1.0074162366133028,613.3430817414297,52.8,0.28127133196699156,0.001
146,-0.40000000000000013,0.2,0.2,75,6,30,-4.538989791453264,-0.45389897914532645,1.0091311070195221,615.9720659177344,50.4,0.30669644584189226,0.002
147,-0.40000000000000013,0.2,0.30000000000000004,25,6,30,-15.668047600040882,-1.5668047600040882,1.0246391806095843,567.5674123700301,61.0,0.29840353208388937,0.002
157,-0.40000000000000013,0.4,0.1,25,2,30,-30.474343428680278,-3.0474343428680277,1.0292487778218793,890.8585468452426,135.7,0.08158568163026705,0.0015
158,-0.40000000000000013,0.4,0.1,25,2,60,-30.474343428680278,-3.0474343428680277,1.0292487778218793,890.8585468452426,134.8,0.08158568163026705,0.002
159,-0.40000000000000013,0.4,0.1,25,6,30,-24.37276379340259,-2.437276379340259,1.0496906957781382,468.2124123713655,47.6,0.16405966202426683,0.001
160,-0.40000000000000013,0.4,0.1,25,6,60,-21.801155518631354,-2.1801155518631354,1.0419743370974421,463.78174570469884,46.5,0.17088340958694587,0.002
161,-0.40000000000000013,0.4,0.1,50,2,60,-23.411205645260225,-2.3411205645260225,1.0221013440400233,877.183672048918,125.0,0.10054835081272454,0.001
162,-0.40000000000000013,0.4,0.1,50,6,60,-24.923538163044192,-2.492353816304419,1.0315235414232977,508.31878620371197,43.2,0.2503846199124222,0.0015
164,-0.40000000000000013,0.4,0.2,50,2,30,-13.889896222591165,-1.3889896222591163,1.012131165924616,828.4399469906517,136.7,0.15829218137802695,0.002
165,-0.40000000000000013,0.4,0.2,50,6,30,-2.8231937128829374,-0.28231937128829376,1.0018553610755747,550.809766696614,49.6,0.2962728130485702,0.002
