,imbalance,relative_imbalance,position_imbalance,trade_size,imbalance_persistence,time_remaining,pnl,roi,pair_cost,matched_pairs,total_trades,final_position_imbalance,marginal_cost_improvement
4,-0.8,0.2,0.2,75,2,30,-3.52376775683249,-0.35237677568324893,0.9987530588166076,818.6550153935256,137.1,0.18800041477440793,0.002
5,-0.8,0.2,0.2,75,6,60,-1.042709607702875,-0.10427096077028768,0.9998102249715075,606.6453782055635,49.9,0.32072043439622594,0.002
8,-0.8,0.2,0.30000000000000004,50,6,60,-0.616629268373788,-0.06166292683737886,0.9936391587208785,609.1733723487391,56.2,0.3429227164145487,0.002
9,-0.8,0.2,0.30000000000000004,75,6,60,6.9268370427332915,0.6926837042733293,0.9886239555972836,619.868201376444,54.7,0.3519939917984797,0.001
11,-0.8,0.2,0.4,50,2,60,-0.378593662688786,-0.037859366268878515,0.9935648162007789,788.7516215473343,145.3,0.24251415428023618,0.002
12,-0.8,0.2,0.4,75,2,60,3.7126597502330356,0.37126597502330355,0.9900128167284885,773.0665217136025,150.1,0.2617157213089214,0.001
13,-0.8,0.2,0.4,75,6,60,13.386171093405313,1.3386171093405312,0.9849322808523873,622.9105830954445,60.1,0.38157902375715663,0.002
21,-0.8,0.4,0.2,25,2,60,-1.5585459488894116,-0.15585459488894107,0.9969323395886069,868.6344033698809,141.0,0.14432461397936888,0.001
27,-0.8,0.4,0.2,75,6,60,-2.993196885017153,-0.2993196885017154,0.9995465208092298,562.2294185129236,48.6,0.31161782858834225,0.001
30,-0.8,0.4,0.30000000000000004,50,6,60,4.512711486876503,0.4512711486876505,0.9929683312406791,569.5248505935688,52.4,0.31604835718956725,0.0015
34,-0.8,0.4,0.4,50,2,30,-4.443207740948855,-0.4443207740948855,0.99907206716357,785.6599176759024,146.7,0.23720362259728273,0.001
35,-0.8,0.4,0.4,75,6,30,7.317562388023044,0.7317562388023047,0.9935322837228563,602.9486750396924,55.0,0.31361076517649844,0.001
36,-0.8,0.4,0.4,75,6,60,10.455177101029028,1.0455177101029032,0.984365741835737,597.0221750396923,54.7,0.3249238711600589,0.002
